name,address,phone,category,sub_category,lat,lon,address_jibun,address_road,region_depth_2,phone_kakao,category_kakao,place_url,search_method,region,enrich_done
갯것이식당,제주특별자치도 제주시 가령로 9 (이도이동),064-724-2722,음식점,향토음식점,33.5033838868549,126.537100819035,제주특별자치도 제주시 이도이동 319-3,제주특별자치도 제주시 가령로 9,제주시,064-724-2722,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/10129055,address,북부,Y
고우니가든,제주특별자치도 제주시 조천읍 남조로 2625,064-782-1418,음식점,향토음식점,33.4964333035085,126.652442924641,제주특별자치도 제주시 조천읍 대흘리 2360,제주특별자치도 제주시 조천읍 남조로 2625,제주시,064-782-1418,"음식점 > 한식 > 육류,고기",http://place.map.kakao.com/8178708,address,북부,Y
국수마당본점,제주특별자치도 제주시 삼성로 65 (일도이동),064-727-6001,음식점,향토음식점,33.5080695482952,126.532203576971,제주특별자치도 제주시 일도이동 1034-19,제주특별자치도 제주시 삼성로 65,제주시,064-727-6001,음식점 > 한식 > 국수,http://place.map.kakao.com/21295286,address,북부,Y
대우정,제주특별자치도 제주시 서사로 152 (삼도일동),064-757-9662,음식점,향토음식점,33.4989134428429,126.519577334316,제주특별자치도 제주시 삼도일동 569-27,제주특별자치도 제주시 서사로 152,제주시,064-757-9662,음식점 > 한식,http://place.map.kakao.com/7830516,address,북부,Y
도두횟집,제주특별자치도 제주시 도두3길 48 (도두일동),064-742-9292,음식점,향토음식점,33.5050983179385,126.489119717688,제주특별자치도 제주시 도두이동 3,제주특별자치도 제주시 공항로 2,제주시,064-742-9292,"음식점 > 한식 > 해물,생선 > 회",http://place.map.kakao.com/16322288,address,북부,Y
돌하르방식당,제주특별자치도 제주시 한림읍 한림로 300,064-796-0001,음식점,향토음식점,33.3902248567191,126.239691183153,제주특별자치도 제주시 한림읍 협재리 2487,제주특별자치도 제주시 한림읍 한림로 300,제주시,064-796-0001,"음식점 > 한식 > 육류,고기",http://place.map.kakao.com/17939078,address,서부,Y
물항탑동점,제주특별자치도 제주시 임항로 37-4 (건입동),064-755-2731,음식점,향토음식점,33.5169164735924,126.529080050014,제주특별자치도 제주시 건입동 1319-14,제주특별자치도 제주시 임항로 37-4,제주시,064-755-2731,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/7875124,address,북부,Y
선플방주할머니식당,제주특별자치도 제주시 조천읍 선흘리 2040-1,064-783-1253,음식점,향토음식점,33.4849865718419,126.699726430528,제주특별자치도 제주시 조천읍 선흘리 2040-1,제주특별자치도 제주시 조천읍 와선로 254,제주시,,,,address,북부,Y
비자림꿩메밀손칼국수,제주특별자치도 제주시 정든로3길 28(이도이동),064-783-3888,음식점,향토음식점,33.4981788708515,126.540070444369,제주특별자치도 제주시 이도이동 396-6,제주특별자치도 제주시 정든로 3,제주시,064-783-3888,음식점 > 한식 > 국수 > 칼국수,http://place.map.kakao.com/9065944,address,북부,Y
신현대식당,제주특별자치도 제주시 임항로 40 (건입동),064-721-8803,음식점,향토음식점,33.516359945066,126.529204693358,제주특별자치도 제주시 건입동 1319-19,제주특별자치도 제주시 임항로 40,제주시,064-721-8803,음식점 > 한식,http://place.map.kakao.com/9200433,address,북부,Y
어우늘,제주특별자치도 제주시 연북로 222 (오라이동),064-743-5131,음식점,향토음식점,33.4810757012222,126.504647649798,제주특별자치도 제주시 오라이동 3103-1,제주특별자치도 제주시 연북로 222,제주시,064-743-5131,"음식점 > 한식 > 해물,생선 > 굴,전복",http://place.map.kakao.com/7997989,address,북부,Y
어장군,제주특별자치도 제주시 신대로 72 (연동),064-744-2258,음식점,향토음식점,33.4909579046617,126.496199268312,제주특별자치도 제주시 연동 301-7,제주특별자치도 제주시 신대로 72,제주시,064-744-2258,음식점 > 한식,http://place.map.kakao.com/11262884,address,북부,Y
유리네식당,제주특별자치도 제주시 연북로 146 (연동),064-748-0890,음식점,향토음식점,33.4814699139794,126.497111923035,제주특별자치도 제주시 연동 427-1,제주특별자치도 제주시 연북로 146,제주시,064-748-0890,음식점 > 한식,http://place.map.kakao.com/10678894,address,북부,Y
유빈,제주특별자치도 제주시 탑동로 55 (삼도이동),064-753-5218,음식점,향토음식점,33.5180509794141,126.518976330896,제주특별자치도 제주시 삼도이동 1200-1,제주특별자치도 제주시 탑동로 55,제주시,064-753-5218,"음식점 > 한식 > 해물,생선 > 굴,전복",http://place.map.kakao.com/8473083,address,북부,Y
제일식당,제주특별자치도 제주시 추자면 추자로 16-2,064-742-9333,음식점,향토음식점,33.9636230180791,126.297204854556,제주특별자치도 제주시 추자면 대서리 8-4,제주특별자치도 제주시 추자면 추자로 16-2,제주시,064-742-9333,"음식점 > 한식 > 해물,생선 > 회",http://place.map.kakao.com/9442481,address,북부,Y
좀녀마을뚝배기,제주특별자치도 제주시 은남길 25 (연동),064-745-3535,음식점,향토음식점,33.487389596749,126.49595878698,제주특별자치도 제주시 연동 303-45,제주특별자치도 제주시 은남길 25,제주시,064-745-3535,음식점 > 한식,http://place.map.kakao.com/9449104,address,북부,Y
탐라정,제주특별자치도 제주시 오복4길 11 (이도이동),064-758-3455,음식점,향토음식점,37.6528519085231,127.144892216271,경기 남양주시 퇴계원읍 퇴계원리 109-25,경기 남양주시 퇴계원읍 퇴계원로78번길 16,남양주시,,"음식점 > 한식 > 해물,생선",http://place.map.kakao.com/24201756,keyword,,Y
탐동산호전복,제주특별자치도 제주시 탑동로 59 (삼도이동),064-758-0123,음식점,향토음식점,33.5180247164512,126.518644522726,제주특별자치도 제주시 삼도이동 1206,제주특별자치도 제주시 탑동로 59,제주시,064-758-0123,"음식점 > 한식 > 해물,생선 > 굴,전복",http://place.map.kakao.com/8559443,address,북부,Y
태광식당,제주특별자치도 제주시 탑동로 144 (용담일동),064-751-1071,음식점,향토음식점,33.512656755073415,126.51867112872117,제주특별자치도 제주시 용담일동 118,제주특별자치도 제주시 탑동로 142,제주시,064-751-1071,음식점 > 한식,http://place.map.kakao.com/24119106,keyword,북부,Y
흑돈가,제주특별자치도 제주시 한라대학로 11(노형동),064-747-0088,음식점,향토음식점,33.4800566885425,126.473496200721,제주특별자치도 제주시 노형동 3811,제주특별자치도 제주시 한라대학로 11,제주시,064-747-0088,"음식점 > 한식 > 육류,고기",http://place.map.kakao.com/1754846295,address,북부,Y
